응답ID,SQ1,SQ2,SQ3,SQ4,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3_01_1,Q3_02_1,Q4_1_1,Q4_1_2,Q4_2_1,Q4_2_2,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_9997,Q6_9997_TXT,Q7,Q8_01_1,Q8_01_2,Q8_01_3,Q8_02_1,Q8_02_2,Q8_02_3,Q9_1_1,Q9_1_2,Q9_2_1,Q9_2_2,Q10,Q11_01_1,Q11_02_1,Q12_1_1,Q12_1_2,Q12_2_1,Q12_2_2,Q14,Q15_01_1,Q15_01_2,Q15_01_3,Q15_02_1,Q15_02_2,Q15_02_3,Q16_1_1,Q16_1_2,Q16_2_1,Q16_2_2,Q17,Q18_01_1,Q18_02_1,Q19_1_1,Q19_1_2,Q19_2_1,Q19_2_2,Q21,Q22_01_1,Q22_01_2,Q22_01_3,Q22_02_1,Q22_02_2,Q22_02_3,Q23,Q24_01_1,Q24_02_1,Q25_1,Q25_2,Q25_9998,Q26_01_1,Q26_02_1,Q27_1_1,Q27_1_2,Q27_2_1,Q27_2_2,Q28_1,Q28_2,Q28_9998,Q29_01_1,Q29_02_1,Q30_1_1,Q30_1_2,Q30_2_1,Q30_2_2,Q31,Q32_01_1,Q32_02_1,Q33_1_1,Q33_1_2,Q33_2_1,Q33_2_2,Q34,Q35_01_1,Q35_02_1,Q36_1_1,Q36_1_2,Q36_2_1,Q36_2_2,Q37_01_1,Q37_01_2,Q37_02_1,Q37_02_2,Q39_01_1,Q39_01_2,Q39_02_1,Q39_02_2,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q42_8,Q42_9,Q42_10,Q42_11,Q42_12,Q42_9997,Q42_9997_TXT,Q43_01_1,Q43_01_2,Q43_01_3,Q43_01_4,Q43_01_5,Q43_01_6,Q43_02_1,Q43_02_2,Q43_02_3,Q43_02_4,Q43_02_5,Q43_02_6,Q45,Q46_01_1,Q46_02_1,Q48,Q49_01_1,Q49_02_1,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q51_7,Q51_8,Q51_9,Q51_10,Q51_11,Q51_12,Q51_9997,Q51_9997_TXT,Q52,Q53,Q54_01_1,Q54_02_1,Q56,Q57_01_1,Q57_02_1,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q59_7,Q59_8,Q59_9,Q59_10,Q59_11,Q59_12,Q59_9997,Q59_9997_TXT,Q60_1,Q60_2,Q61,Q62_01_1,Q62_02_1,Q64,Q65_01_1,Q65_02_1,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q68_7,Q68_8,Q68_9,Q68_10,Q68_11,Q68_12,Q68_9997,Q68_9997_TXT,Q69,Q70_01_1,Q70_02_1,Q71,Q72_01_1,Q72_02_1,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q78_7,Q78_8,Q78_9,Q80,Q80_9997_TXT,Q81_1,Q81_2,Q81_3,Q81_4,Q82_1,Q82_2,Q82_3,Q82_4,Q83_1,Q83_2,Q83_3,Q83_4,Q84_1,Q84_2,Q84_3,Q84_4,Q84_5,Q84_6,Q84_7,Q85,Q85_01,Q86_1,Q86_2,Q86_3,Q86_4,Q86_5,Q87,Q87_01,Q87_02,DQ1_1,DQ1_2,DQ2,DQ3,DQ4,DQ4_9997_TXT,DQ5,DQ6_1,DQ7_1,DQ8_1,DQ9_1,DQ9_2,DQ9_3,DQ9_4,DQ9_5,DQ9_6,wt1,wt2
22,21,1,1,20,5,2,2,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,1,0,2,0,1,6,3,0,30,0,20,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,0,40,0,20,1, , ,6,3,0,30,0,10,1,6,1,1,0,0,0,2, , ,0,0,0,0,6,6,3,1,6, ,3, ,1,1,1,1,2,2,2,1,1, , ,1, , , , , ,1,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , ,3,3,2,3,3,4,4,4,3,3,2,3,3,2,8, ,1,2,2,2,2, , , ,3,3,4,3,2,3,4,2,2,3,3,2,2,2,2,2,2,2,2, , ,4,0,2,4,11, ,5,2,2,3,1,1,2,1,2,2,1.28,.91
23,21,1,2,37,5,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,3,3,1,1,3,30,4,0,1,6,3,0,30,0,30,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,2,0,1,0,1, , ,6,1,0,20,0,0,2, , , , , , , , , , , , , ,6, ,3, ,6, ,1, ,1,2,3,1,4,4,4,2,3, ,1,1,1,1, , ,1,1, ,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,1,2, , , , , , , , , , , , , , , , ,2, , , , , ,3,4,3,3,4,3,3,6,3,4,3,3,3,3,2, ,1,2,2,2,2, , , ,3,3,4,4,1,2,3,3,3,3,3,2,2,2,2,2,2,2,2, , ,3,1,2,4,10, ,5,3,3,3,1,1,1,2,2,2,.9,.91
24,26,1,2,58,5,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,2,3,1,1,2,0,5,0,1,6,2,0,10,0,10,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,2,0,2,0,1, , ,6,3,0,20,0,20,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,2,1,1,1,2,5,5,2,2,1,1,1,1, , ,1,1,1, , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1,3,2,2, , , , , , , , , , , , , , , , ,2, , , , , ,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6, ,1,2,2,2,4, , , ,3,4,4,4,3,4,4,4,4,4,4,2,2,2,1,2,2,1,2, , ,3,2,2,3,3, ,5,2,4,3,1,2,1,1,2,2,.3,.45
25,26,1,1,39,5,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,4,3,1,2,2,0,3,0,1,6,3,0,20,0,10,1,6,1,1,1,1,1,0,30,0,0,2, , ,0,0,0,0,2, , , , , , , , , ,1, , ,6,3,2,0,1,0,1, , ,6,3,1,0,1,0,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,1,1,3,1,4,5,5,3,3,1,1,1,1,1,1,1,1,1,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,1, , ,1, , , , ,1, , , , , , ,1,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,3,1,2, , , , , , , , , , , , , , , , ,2, , , , , ,2,4,3,3,4,4,4,4,4,4,4,4,4,4,2, ,1,2,2,2,4,3, , ,3,4,5,4,2,3,3,3,3,4,4,2,2,2,1,2,2,1,2, , ,3,2,2,4,5, ,5,2,2,4,1,2,2,1,2,2,.3,.45
26,26,1,1,63,2,1,2,1,2,2,1,2,6,1,1,0,0,0,1,1, ,1, , , , , , , , , , ,1,6,1,1,3,3,1,3,0,5,0,1,6,3,2,0,1,0,1,6,1,1,3,1,1,2,0,1,0,1,6,3,1,0,1,0,2, , , , , , , , , ,1, , ,6,3,0,30,0,30,1, , ,6,3,0,20,0,20,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1,3,1,2, , , , , , , , , , , , , , , , ,2, , , , , ,3,4,3,4,4,4,4,4,4,4,4,4,4,4,8, ,1,2,2,2,3, , , ,3,4,4,4,2,3,4,4,4,4,4,2,2,2,1,2,2,1,2, , ,2,1,2,2,5, ,3,2,4,5,1,1,2,2,2,2,.3,.45
27,38,3,2,49,2,2,1,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,6,6,3,2,3,10,0,4,0,1,6,3,2,30,1,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,5,2,0,30,0,10,1, , ,5,2,0,10,0,10,1,6,2,1,30,0,30,1,6,2,0,30,0,15,5,6,2,2,5,6,2,2,3,2,2,2,2,1,2,2,2, , ,1, , , , , ,1,1, , , , ,1,1,1,1,3,2,1,1,1,1,2,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,3,1,5,2, , ,1, , , , , ,1, , , , , ,2, , , , , ,1,2,1,2,2,2,3,3,1,3,2,2,3,3,4, ,1,2,2,1,4, , ,2,4,4,5,3,3,2,2,3,3,2,3,2,2,2,1,2,2,1,1,1,4,5,1,2,4,2, ,5,4,2,4,1,1,1,2,2,2,1.14,.91
28,26,1,1,59,2,1,2,1,2,2,1,2,6,1,1,0,0,0,1, , , , , , ,1, , , , , , ,1,6,1,6,3,1,3,3,0,5,0,1,6,3,2,0,3,0,1,1,1,1,2,1,1,0,0,1,0,1,1,2,0,0,1,0,2, , , , , , , , , ,1, , ,6,3,1,0,1,0,1, , ,6,3,0,20,0,20,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , ,2, , , , , ,2,4,3,3,4,4,4,4,4,4,4,4,4,3,6, ,2,2,2,2,2, , , ,3,4,4,4,2,2,3,3,3,4,4,2,2,2,2,2,2,1,2, , ,3,2,2,3,5, ,7,2,4,4,1,2,1,1,2,2,.3,.45
29,38,3,2,35,5,2,1,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,2,1,1,6,0,4,0,1,6,2,1,0,0,30,1,5,1,1,1,1,1,1,30,0,0,1,5,1,0,20,0,0,2, , , , , , , , , ,1, , ,6,3,3,0,1,0,1, , ,6,3,0,30,0,20,1,5,1,3,0,0,0,1,5,1,0,30,0,0,6,5,3,1,6,5,3,1,4,4,4,3,5,4,2,3,3, , ,1, , , , ,1,1, ,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,3,1,4,2, , ,1, , , , , ,1, , , , , ,2, , , , , ,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4, ,1,2,2,1,4, , ,4,3,4,4,4,2,2,3,3,3,3,3,2,2,2,2,1,2,1,2, , ,4,2,2,4,6, ,5,3,4,4,1,1,1,1,1,1,.76,.91
30,26,1,1,45,5,2,1,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,3,3,1,1,2,0,1,0,1,6,2,0,30,0,10,1,6,1,1,2,1,1,0,30,0,30,2, , ,0,0,0,0,2, , , , , , , , , ,1, , ,6,3,2,0,1,0,1, , ,6,3,1,0,0,30,1,6,1,1,0,0,0,1,6,1,0,10,0,0,6,6,3,1,6,6,3,1,4,3,2,2,3,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,1,6,2,1,2,1, , ,1, , , , , , , , , , , ,2, , , , , ,2,4,3,3,4,4,5,4,4,4,4,4,4,4,4, ,1,2,2,2,3, , ,2,3,4,4,4,2,2,3,3,4,4,4,2,2,2,2,2,2,1,2, , ,4,2,2,3,2, ,5,2,3,3,1,2,1,1,2,2,.58,.45
31,38,3,1,77,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,4,0,2,0,1,6,3,0,30,0,10,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,3,3,3,2,4,3,2,1,2,1,1,1,7, ,1,2,2,2, , , , ,4,3,3,3,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2, , ,2,0,1,2,1, ,1,2,5,3,1,2,2,2,2,2,.99,.91
32,38,3,2,74,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,15,0,6,0,1,6,3,0,30,0,10,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,4,4,3,2,6,2,2,2,2,7, ,1,2,2,2, , , , ,3,4,5,3,2,1,2,2,3,4,3,2,2,2,2,2,2,1,2, , ,2,0,1,2,10, ,1,2,5,4,1,2,2,2,2,2,1.53,.91
33,26,1,2,38,5,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,6,3,1,3,3,0,5,0,1,6,2,0,20,0,10,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,2,0,1,0,1, , ,6,3,0,30,0,30,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,3,2,2,1,2,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,3,2, , , , , , , , ,1, , , , , ,2,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,2,2, , , , , , , , , , , , , , , , ,2, , , , , ,3,4,3,4,4,4,4,4,4,4,4,4,4,4,7, ,1,2,2,2,3,2, , ,3,4,4,4,2,2,4,3,4,4,4,2,2,2,2,2,2,2,2, , ,4,2,2,4,10, ,4,2,2,2,1,2,2,1,2,1,.39,.45
34,26,1,2,69,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,1,0,1,0,1,6,3,1,0,1,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,3,2,3,2,1,2,2,1,1,1,7, ,2,2,2,2, , , , ,2,2,4,2,2,2,2,3,2,3,3,2,2,2,2,2,2,1,2, , ,2,0,1,1,10, ,2,2,4,3,1,2,2,2,2,2,.34,.45
35,38,3,1,48,2,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,6,3,1,3,15,0,6,0,1,6,3,2,0,0,30,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,10,0,5,0,1, , ,6,3,1,30,0,30,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,4,3,5,4,3,4,3,3,3, , ,1,1, , , ,1,1,1, , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,4,1,1,3,1, ,1,1, , , , , , ,1, , , , ,2,2,2, , , , , , , , , , , , , , , , , , , ,2, , , , , ,2,3,2,3,2,2,4,4,2,3,3,2,3,2,1, ,2,2,2,2,4, ,2, ,2,2,4,3,2,1,2,2,1,3,3,2,2,2,2,2,2,1,2, , ,3,0,2,3,5, ,5,3,4,3,1,2,2,2,2,2,1.33,.91
36,26,1,2,22,5,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,4,1,6,2,1,3,2,0,1,0,1,6,3,0,20,0,10,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,3,0,3,0,1, , ,6,3,0,30,0,30,1,6,2,1,0,1,0,2, , ,0,0,0,0,6,3,3,1,6, ,3, ,3,2,3,1,4,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,2, , , , , , , , ,1, , , , , ,2,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,4,3,2, , , , , , , , , , , , , , , , ,1,3,2,2, , ,3,4,3,4,4,4,3,4,4,4,3,3,3,3,6, ,1,2,2,2,2,2, , ,3,4,5,5,2,2,3,3,4,4,4,2,2,2,2,2,2,2,2, , ,4,3,2,3,2, ,7,2,2,2,1,2,2,1,2,2,1.52,.45
37,26,1,2,73,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,1,0,1,0,1,6,3,1,0,1,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,3,2,3,3,3,3,2,2,2,3,7, ,2,2,2,2, , , , ,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2, , ,2,0,1,1,10, ,2,2,2,1,1,2,2,2,2,2,.34,.45
38,38,3,2,55,2,1,2,1,2,2,2,2,5,1,0,30,0,0,1,1,1,1,1,1,1,1,1,1, ,1, , ,1,6,1,6,3,1,3,20,0,10,0,1,6,3,5,0,2,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,5,0,2,0,1, , ,6,3,1,0,0,30,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,4,4,4,3,3,4,4,3,2, , ,1, ,1, , ,1,1,1, , , , ,1,1,1,1,1,2,1,1,1,1,1,2,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,3,1,3,2, , ,1, , , , ,1,1, , , , , ,2, , , , , ,2,4,2,2,4,4,4,3,2,3,2,1,1,3,7, ,1,2,2,2,4, , ,2,1,4,5,4,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,0,1,3,10, ,2,4,3,5,1,2,2,2,2,2,.37,1.42
39,26,1,2,48,5,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,6,3,1,2,3,0,5,0,1,4,1,0,20,0,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,1,0,1,0,1, , ,6,3,0,20,0,20,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,1,1,1,1,2,5,5,2,3,1,1,1,1,1,1,1,1,1,1,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,1,6,3,1, ,1, , , , ,1,1, , , , , ,1,2,1,4,2,2, , , , , , , , , , , , , , , , ,2, , , , , ,3,4,4,4,4,4,4,4,4,4,3,3,3,3,8, ,1,2,2,2,2, ,2, ,4,4,5,5,2,2,3,3,4,4,4,2,2,2,1,2,2,2,2, , ,4,3,2,3,5, ,6,2,3,2,1,2,2,2,2,2,.32,.45
40,38,3,1,53,3,1,2,1,2,2,2,2,2,1,1,0,0,0,1,1,1,1, , , ,1,1,1, , , , ,1,6,2,4,3,1,2,10,0,4,0,1,6,3,3,0,1,0,1,6,2,5,1,1,2,1,0,0,20,1,6,1,1,0,0,0,2, , , , , , , , , ,1, , ,6,3,2,0,1,0,1, , ,5,1,1,0,0,0,2, , , , , , , , , , , , , ,6, ,3, ,6, ,3, ,4,3,4,4,3,4,3,3,3, , ,1, , , , ,1, , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , ,2, , , , , ,2,4,2,3,4,4,3,4,2,2,2,1,2,2,4, ,1,2,2,2,4, , , ,2,4,5,5,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,0,1,4,2, ,3,3,2,4,1,2,2,2,2,2,.81,.91
41,26,1,1,66,2,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,3,0,5,0,1,3,3,2,0,1,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,1,0,1,0,1, , ,6,3,0,30,0,30,2, , , , , , , , , , , , , ,5, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,3,2,3,2,1,2,2,2,2,2,8, ,2,2,2,2, , , , ,2,3,3,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2,2, , ,2,0,1,2,12, ,2,2,3,3,1,2,2,2,2,2,.63,.49
42,26,1,1,38,2,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,4,1,6,3,1,3,2,0,1,0,1,4,3,1,0,1,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,1,0,1,0,1, , ,4,1,0,10,0,0,1,6,2,4,0,5,0,2, , ,0,0,0,0,4,6,1,1,4, ,1, ,3,3,3,2,2,2,2,2,2, ,1, ,1, , , , ,1, , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , ,2,3,2,3,3,1,3,1,1,3,2,2,2,2,8, ,2,2,2,2,3, , , ,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,1,2,2,2, , ,3,1,3,4,6, ,6,3,3,3,1,1,2,2,1,2,.69,.49
43,38,3,2,26,5,2,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,1,6,6,6,3,3,3,5,0,2,0,1,6,3,1,30,0,30,1,1,1,6,1,1,1,5,0,0,0,1,6,1,0,30,0,0,2, , , , , , , , , ,1, , ,6,3,5,0,5,0,1, , ,6,3,0,30,0,10,1,6,3,1,0,0,30,1,6,3,0,10,0,5,6,6,3,3,6,6,3,3,5,4,3,3,3,4,3,2,2, , ,1, ,1, , ,1,1, , , , , ,1,1,1,1,5,1,1,1,1,1,2,1,1,6,3,1,6,3, , ,1, , , , , ,1,1, , , , ,2,1,6,3,1,6,3, , ,1, , , , , ,1,1, , , , ,2,2,1,6,3,1,6,2, , ,1, , , , , ,1, , , , , ,2, , , , , ,2,2,3,3,4,1,4,4,2,3,3,3,3,3,4, ,1,1,1,2,5,4,4,4,4,3,4,3,3,3,3,4,3,4,3,2,2,2,1,2,2,1,2, , ,4,0,2,4,6, ,6,4,3,4,1,1,2,1,2,2,1.78,.91
44,25,1,2,69,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,0,20,0,30,1,6,3,0,5,0,5,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,3,3,3,6,4, ,1,1,1,1, , , , ,3,4,4,4,2,2,2,3,3,3,3,2,2,2,2,2,2,1,2, , ,2,0,1,2,3, ,4,3,3,2,1,1,2,2,2,2,.68,.53
45,26,1,2,31,2,2,2,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,2,0,2,0,1,6,3,1,0,1,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,0,30,0,30,1, , ,6,3,0,10,0,10,2, , , , , , , , , , , , , ,6, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,2, , , , , ,2,3,3,4,5,2,3,2,1,3,2,2,2,2,6, ,2,2,2,2, , , , ,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,1,2, , ,3,1,2,4,10, ,5,2,2,3,1,1,2,1,2,2,.55,.49
46,26,1,1,22,5,2,1,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , ,1,6,5,6,3,2,3,1,0,3,0,1,6,2,0,20,0,20,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , ,1, , ,6,3,4,0,4,0,1, , ,6,3,0,30,0,30,1,6,3,1,0,2,0,2, , ,0,0,0,0,6,6,3,3,6, ,3, ,1,1,1,1,1,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2, , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , , , ,1,6,3,2, , , , , , , , , , , , , , , , ,2, , , , , ,3,3,3,2,3,3,3,3,3,4,3,3,3,3,5, ,1,2,2,2,2, , , ,3,4,4,4,2,2,3,3,3,4,4,2,2,2,2,2,2,2,2, , ,1,0,1,3,5, ,4,2,2,2,1,2,2,1,2,2,.3,1
47,34,2,2,75,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,1,6,1,1,3,1,1,1,0,1,0,1,6,3,1,0,1,0,2, , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,3,3,3,4,4,3,3,2,2,2,2,2,3, ,9999,9999,9999,9999, , , , ,4,3,3,4,3,4,3,3,3,3,2,2,2,2,2,2,2,1,2, , ,3,0,2,1,10, ,4,2,4,2,1,2,1,2,2,2,1.01,.76
